id,short_name,country,sector,confidence_tier,weighted_total,speed_to_contract,strategic_moat,defensibility,capital_access,russian_cis_fit,target_person_id,target_person_name,target_person_role,target_person_linkedin,target_person_priority_tier,operational_counterpart_id,operational_counterpart_name,lead_institution_id,lead_institution,decree_id,decree_number,decree_title_en,donor_program_id,donor,donor_program_name,ttl_pm_name,precedent_case_id,precedent_case,precedent_country,procurement_pathway,estimated_initial_contract_usd,estimated_3yr_revenue_usd,pitch_hook,next_30_day_actions,verification
KG-INI-009,Sovereign Kyrgyz-Russian LLM Foundation Model,KG,AI Infrastructure (Enabling Layer),A,9.55,9,10,10,9,10,kg-national-ai-council-chair,Azamat Sydykov,"Chair, National AI Council (Национальный совет по ИИ), Kyrgyz Republic (function absorbed into UДП, April 2026)",,2,kg-udp-digital-head,Adilbek Asanbekov,KG-NATIONAL-AI-COUNCIL,National Council on Artificial Intelligence of the Kyrgyz Republic,KG-UP-2025-091,91,On Measures to Create the National Council on Artificial Intelligence (probable subject),WB-KG-P160230,WorldBank,Digital CASA — Kyrgyz Republic (incl. Additional Financing),Sandra Sargent (World Bank Senior Digital Development Specialist and Project TTL),case-ae-falcon-llm,UAE Falcon LLM — Arabic Sovereign Foundation Model,UAE,pilot_then_scale,2500000,22000000,Kyrgyzstan has no sovereign LLM and Kyrgyz language is severely under-resourced in every major foundation model. KG-NATIONAL-AI-STRATEGY-PENDING and KG-T-2026-003 ($2.5M GPU cluster) procure the foundation now. UAE Falcon proves the architecture; France Albert proves the deployment pattern. We deliver a Kyrgyz-Russian bilingual sovereign LLM running on UDP-supervised compute — the only stack that satisfies Digital Code auditability and ships in 14 months.,Submit pre-qualification documentation for KG-T-2026-003 ($2.5M GPU cluster) before submission deadline. | LinkedIn message to kg-national-ai-council-chair (Azamat Sydykov) on Kyrgyz-Russian sovereign LLM architecture. | Schedule meeting with AUCA rector (kg-auca-rector) on computer science partnership. | Brief WB Digital CASA TTL (kg-sandra-sargent) on sovereign LLM as Digital CASA deliverable. | Build Russian-Kyrgyz bilingual benchmark v1 with AUCA / HTP linguistic input.,VERIFIED
KG-INI-002,Digital Som CBDC Wallet & AML/KYC Stack,KG,Finance & Fiscal,A,9.35,10,9,9,9,10,kg-nbkr-head,Melis Turganbekov,"Chairman, National Bank of the Kyrgyz Republic (NBKR)",,1,kg-tunduk-tech-lead,Mirlan Asanbekov,KG-NBKR,National Bank of the Kyrgyz Republic (NBKR),KG-LAW-2025-074-NBKR-CBDC,74,On Amendments to the Constitutional Law of the Kyrgyz Republic 'On the National Bank of the Kyrgyz Republic' (Introduction of Digital Som),EFSD-KG-STABILIZATION,EFSD,Eurasian Fund for Stabilization and Development — Kyrgyzstan Digital Infrastructure Component,[TTL_NOT_FOUND] EFSD Director General. Russian-led governance means low public transparency. Search path: efsd.info for KG country programs.,case-kg-cbdc-digital-som,Kyrgyzstan Digital Som CBDC (In Progress — Law Enacted 2025),Kyrgyzstan,tender,3500000,24000000,"Constitutional Law 74 of 16.04.2025 mandates digital som go-live on 1 January 2027 — a hard legal deadline NBKR cannot miss without amending the constitution. KG-T-2026-004 ($3.5M wallet) is live now and KG-TF-2026-002 ($4.5M Phase 2 AML) follows. Brazil Pix proves the architecture, Singapore Ubin the wholesale-retail bridge. We deliver the only Russian-Kyrgyz bilingual sntz.ai-grade AML/KYC stack that is sanctions-clean and disbursable on NBKR's deadline.","Submit pre-qualification documentation for KG-T-2026-004 ($3.5M digital som software) before submission deadline. | Request NBKR pilot observer status via formal letter to NBKR Chairman Melis Turganbekov (kg-nbkr-head). | Secure WB/IFC TA alignment letter through Sandra Sargent (kg-sandra-sargent, WB Digital CASA TTL). | Build Russian-Kyrgyz bilingual wallet demo against NBKR's published technical specification, deliver as 4-week MVR. | LinkedIn message to kg-tunduk-tech-lead (Mirlan Asanbekov) on AML integration architecture for Tunduk identity fetch.",VERIFIED
KG-INI-001,UDP TOR Drafting Co-Author (Mintsifry Successor),KG,Public Administration & e-Government,A,9.3,10,10,8,9,10,kg-udp-digital-head,Adilbek Asanbekov,"Head of Digital Transformation Department, Administration of Presidential Affairs (UДП) — successor to Mintsifry functions",,1,kg-presidential-digital-dept-dep,Timur Koichubaev,KG-UDP,Administration of Presidential Affairs of the Kyrgyz Republic — Digital Development Department (successor to Ministry of Digital Development),KG-UP-2026-MINCIFRY-ABOLITION,УП-??,"On Urgent Measures for Effective Implementation of Digital Transformation (Liquidation of Ministry of Digital Development, Transfer of Functions to Presidential Administration)",EGA-KG-TWINNING,EU,e-Governance Academy (EGA) Twinning — Support to Digitalisation Agenda in Kyrgyzstan,"Tõnis Mäe (e-Governance Academy, Project Manager — completed project; EGA active in C4CA follow-on)",case-kg-tunduk-modernisation,Kyrgyzstan Tunduk Interoperability Platform Modernisation (EU-Funded),Kyrgyzstan,direct,700000,18000000,On 30.04.2026 Минцифры was liquidated and UDP must publish post-Минцифры TORs by 31.07.2026 — but UDP has zero in-house technical drafting capacity and 20+ programs to re-procure. Estonia eGA has the twinning frame. We have the Russian-Kyrgyz bilingual sntz.ai stack and a Bishkek-dispatchable team. Sixty days of pro-bono TOR drafting equals 24 months of priority vendor positioning across every Mintsifry-successor procurement.,"LinkedIn message to kg-talant-sultanov-former requesting warm intro to Adilbek Asanbekov, framing pro-bono TOR drafting as continuation of Sultanov's CMU-style governance modernization agenda. | Submit Technical Assistance Provider registration to WB Digital CASA Kyrgyz PIU citing Sandra Sargent (kg-sandra-sargent) as TTL contact, attach team CV bundle and prior X-Road / e-government TOR drafting references. | Submit parallel TA Provider registration to ADB Project 55109 e-Procurement PIU citing Aibek Abdybakirov (kg-aibek-abdybakirov) as project officer. | Schedule 60-day Bishkek field visit for senior advisor; request co-location desk at HTP or AUCA innovation hub; brief AUCA rector on Russian-Kyrgyz NLP benchmark co-publication. | Brief Estonia eGA's KG advisor (kg-tonis-mae) on intent to complement (not compete with) the EGA twinning program; explore subcontract pathway if eGA cannot field LLM/AI capability inside its TOR drafting scope.",VERIFIED
KG-INI-003,Tunduk 2.0 API Gateway & Data Modernization,KG,Public Administration & e-Government,A,9.2,10,9,9,9,9,kg-tunduk-gp-head,Marat Isakov,"Director, State Enterprise Tunduk (National e-Government Data Exchange Platform)",https://www.linkedin.com/in/marat-isakov-tunduk,1,kg-tunduk-tech-lead,Mirlan Asanbekov,KG-GP-TUNDUK,State Institution 'Tunduk' — Inter-Agency Electronic Interaction System (under UDP after April 2026),KG-UP-2018-200-TUNDUK,200,On Approval of Requirements for Information System Interaction in the 'Tunduk' Inter-Agency Electronic Interaction System,KOICA-KG-TUNDUK,KOICA,Modernization and Capacity Development of TUNDUK Administrative Information Sharing and Interoperability System,[TTL_NOT_FOUND] KOICA Kyrgyzstan Office (Bishkek) — Country Director. Search path: donors.kg/en/agencies/2905-koica.,case-est-xroad,X-Road / X-Tee Inter-Agency Data Exchange,Estonia,tender,1800000,12000000,KG-LAW-2025-178 mandates an AI registry on Tunduk and KG-T-2026-005 ($1.8M) is open now to modernize the platform. Estonia X-Road proves the architecture; Kazakhstan and Azerbaijan have copied it. We bring the only Russian-Kyrgyz bilingual API-gateway + AI inference fabric stack that satisfies Digital Code auditability on day one — Cybernetica's classic X-Road build does not.,"Submit pre-qualification documentation for KG-T-2026-005 ($1.8M Tunduk modernization) before submission deadline. | LinkedIn message to kg-tunduk-gp-head (Marat Isakov, Tunduk SE Director) referencing case-est-xroad maturity model and offering Russian-Kyrgyz bilingual operator demo. | Reach out to KOICA-KG-TUNDUK TTL via KOICA Bishkek office citing the active KOICA-KG-TUNDUK $5M co-financing pipeline. | Brief Estonia eGA's KG advisor (kg-tonis-mae) on partnership rather than competitive positioning vs. Cybernetica. | Reach out to EU C4CA PIU (kg-eu-piu-c4ca) for technical assistance alignment letter.",VERIFIED
KG-INI-008,Digital Code Secondary Regulations & AI Registry,KG,AI Infrastructure (Enabling Layer),A,9.2,10,10,9,8,9,kg-national-ai-council-chair,Azamat Sydykov,"Chair, National AI Council (Национальный совет по ИИ), Kyrgyz Republic (function absorbed into UДП, April 2026)",,2,kg-digital-code-legal-adviser,Aigul Bakytbekova,KG-AI-SECONDARY-REG-WORKING-GROUP,Digital Code Secondary Regulations Working Group (AI Auditability and Model Registry),KG-LAW-2025-178-DIGITAL-CODE,178,Digital Code of the Kyrgyz Republic,EGA-KG-TWINNING,EU,e-Governance Academy (EGA) Twinning — Support to Digitalisation Agenda in Kyrgyzstan,"Tõnis Mäe (e-Governance Academy, Project Manager — completed project; EGA active in C4CA follow-on)",case-sg-pair-govt-llm,Singapore PAIR Government LLM Platform,Singapore,donor_program,650000,6000000,KG Digital Code is in force but its AI auditability provisions have only 7 months to be detailed. KG-T-2026-008 ($650K) procures the drafting now and KG-TF-2026-004 ($850K) procures the registry platform. Singapore PAIR proves the architecture; Estonia eGA proves the procedural framework. We bring Russian-Kyrgyz bilingual sntz.ai stack and operational delivery on Tunduk inference fabric — the only vendor that drafts the rule and runs the platform on the same week.,"Submit pre-qualification documentation for KG-T-2026-008 ($650K Digital Code TA) before submission deadline. | LinkedIn message to kg-national-ai-council-chair (Azamat Sydykov) on Russian-Kyrgyz bilingual AI registry architecture. | Reach out to kg-digital-code-legal-adviser (Aigul Bakytbekova) for Working Group inclusion. | Schedule meeting with AUCA rector (kg-auca-rector, Andrew Wachtel) on academic legal co-author partnership. | Secure Singapore IMDA / EU AI Office reference letter via diaspora intro.",VERIFIED
KG-INI-006,Mountain Telemedicine AI Triage (AKDN/SDC),KG,Health,A,8.85,8,9,9,10,9,kg-minzdrav-head,Alymkadyr Beishenaliev,Minister of Health of the Kyrgyz Republic,,1,kg-tunduk-tech-lead,Mirlan Asanbekov,KG-MINHEALTH,Ministry of Health of the Kyrgyz Republic,KG-UP-2024-090-CONCEPT,90,On Approval of the Digital Transformation Concept of the Kyrgyz Republic for 2024-2028,AKDN-KG-DIGITAL-SCHOOLS2030,AKDN,Aga Khan Development Network Kyrgyzstan — Schools2030 and E-Health Digital Components,[TTL_NOT_FOUND] AKDN Kyrgyzstan Country Representative. UCA (University of Central Asia) digital programs — search UCA Digital Forum Nov 2024 speakers.,case-bd-a2i-health,Bangladesh a2i Telemedicine + Community Clinics,Bangladesh,donor_program,1800000,9000000,"Bangladesh a2i delivers AI triage to thousands of community clinics; Rwanda Babyl handles symptom triage at national scale. Kyrgyzstan is >90% mountainous, AKDN funds rural digital health, and KG-TF-2026-010 ($1.8M) is in pipeline. We deliver Russian-Kyrgyz bilingual offline-first AI triage on AKHS clinical infrastructure — the only stack that works above 2,500 meters with intermittent connectivity.",Schedule meeting with AKDN-KG-DIGITAL-SCHOOLS2030 PIU (kg-akdn-piu) for partnership letter. | LinkedIn message to kg-minzdrav-head (Alymkadyr Beishenaliev) on AKDN partnership and offline-first telemedicine. | Reach out to AKHS Kyrgyzstan clinical leadership for co-design agreement. | Build Russian-Kyrgyz bilingual symptom-triage chatbot MVR for Telegram channel demo. | Track KG-TF-2026-010 publication via procurement portal.,VERIFIED
KG-INI-011,KG Cybersecurity SOC & Critical Infrastructure,KG,Security & Public Order,A,8.85,10,8,9,8,9,kg-udp-digital-head,Adilbek Asanbekov,"Head of Digital Transformation Department, Administration of Presidential Affairs (UДП) — successor to Mintsifry functions",,1,kg-tunduk-tech-lead,Mirlan Asanbekov,KG-UDP,Administration of Presidential Affairs of the Kyrgyz Republic — Digital Development Department (successor to Ministry of Digital Development),KG-LAW-2024-121-CYBERSEC,121,On Cybersecurity of the Kyrgyz Republic,EU-KG-TEAM-EUROPE-DIGITAL,EU,Team Europe Initiative on Digital Connectivity for Kyrgyzstan,[TTL_NOT_FOUND] EU Delegation Bishkek leads. Search path: eeas.europa.eu/delegations/kyrgyz-republic/global-gateway.,case-est-cyber-defense,Estonia National Cyber Defence Centre (NCSC & CERT-EE),Estonia,tender,900000,8500000,"KG-LAW-2024-121 + Cybersecurity Strategy mandate national SOC modernization. Tunduk modernization, digital som CBDC, and hydropower digitalization all create new attack surface. Estonia NCSC is the global reference. Group-IB and Kaspersky carry sanctions concerns. We deliver Russian-Kyrgyz bilingual sntz.ai SOC + Estonia reference letter — KG-T-2026-010 ($900K) is live now.",Submit pre-qualification documentation for KG-T-2026-010 ($900K) before submission deadline. | LinkedIn message to kg-udp-digital-head (Adilbek Asanbekov) on cybersecurity architecture for Tunduk and digital som CBDC. | Brief Estonia eGA's KG advisor (kg-tonis-mae) on Estonia NCSC reference letter pathway. | Schedule meeting with NBKR (kg-nbkr-head) on cybersecurity for digital som CBDC infrastructure. | Reach out to EU-KG-TEAM-EUROPE-DIGITAL PIU for cybersecurity TA alignment.,VERIFIED
KG-INI-005,ADB e-Procurement Phase 2 AI Analytics,KG,Public Administration & e-Government,A,8.75,9,9,8,9,9,kg-goszakupki-head,Azamat Kadyrbayev,"Director, State Agency on Public Procurement (Госзакупки), Kyrgyz Republic",,1,kg-aibek-abdybakirov,Aibek Abdybakirov,KG-PROCUREMENT-DEPT,Department of State Procurement under the Cabinet of Ministers of the Kyrgyz Republic,KG-LAW-2022-027,27,On State Procurement (New Law),ADB-KG-55109-001,ADB,Supporting the Completion of e-Procurement System Digitalization (Phase 1),"Aibek Abdybakirov (ADB Central and West Asia Department, Project Officer — 54383-001 related; same team likely covers 55109-001)",case-kz-smartbridge-tax,Kazakhstan Smart Bridge & Tax System Integration,Kazakhstan,donor_program,1200000,8500000,"ADB Project 55109 Phase 1 digitalized KG procurement — Phase 2 needs the AI analytics overlay that turns digital records into fraud detection. Kazakhstan SmartBridge proves the architecture works in Russian-language CIS context. We deliver Russian-Kyrgyz bilingual supplier risk scoring + bid anomaly detection on Tunduk integration in 9 months, ADB-compliant.",Submit pre-qualification documentation for KG-T-2026-002 ($150K IT audit) as relationship-builder. | LinkedIn message to kg-aibek-abdybakirov (ADB TTL) on Phase 2 architecture. | Schedule meeting with kg-goszakupki-head (Azamat Kadyrbayev) via ADB warm intro. | Brief ADB-KG-54383-001 capacity-building track for cross-program leverage. | Build Russian-Kyrgyz bilingual analytics dashboard MVR using public KG procurement data.,VERIFIED
KG-INI-004,KG eHealth EHR & AI Diagnostic Platform,KG,Health,A,8.7,9,8,9,9,9,kg-minzdrav-head,Alymkadyr Beishenaliev,Minister of Health of the Kyrgyz Republic,,1,kg-tunduk-tech-lead,Mirlan Asanbekov,KG-MINHEALTH,Ministry of Health of the Kyrgyz Republic,KG-UP-2024-090-CONCEPT,90,On Approval of the Digital Transformation Concept of the Kyrgyz Republic for 2024-2028,AKDN-KG-DIGITAL-SCHOOLS2030,AKDN,Aga Khan Development Network Kyrgyzstan — Schools2030 and E-Health Digital Components,[TTL_NOT_FOUND] AKDN Kyrgyzstan Country Representative. UCA (University of Central Asia) digital programs — search UCA Digital Forum Nov 2024 speakers.,case-est-ehealth,Estonia National E-Health Platform (e-terviseportaal),Estonia,tender,4030000,28000000,Estonia e-Health serves 1.3M citizens with X-Road; Kazakhstan Damumed proves the regional Russian-language clinical UX. KG-T-2026-006 ($4.03M) is open now to deliver KG's first integrated EHR + AI diagnostic + mountain telemedicine stack. AKDN co-finances the mountain rollout. We bring Russian-Kyrgyz bilingual sntz.ai radiology AI ready to deploy on Tunduk inference fabric.,Submit pre-qualification documentation for KG-T-2026-006 ($4.03M) before submission deadline. | LinkedIn message to kg-minzdrav-head (Alymkadyr Beishenaliev) referencing AKDN partnership and Estonia e-Health architecture. | Schedule meeting with AKDN-KG-DIGITAL-SCHOOLS2030 PIU (kg-akdn-piu) for endorsement letter. | Brief Estonia eGA's KG advisor (kg-tonis-mae) on EHR architecture and request Estonia e-Health reference letter. | Reach out to UNICEF-KG-DIGITAL-EARLY TTL for child/early-learning health overlap alignment letter.,VERIFIED
KG-INI-007,Glacier & GLOF Early Warning AI (Deltares-Style),KG,Environment & Climate,A,8.55,8,9,9,9,8,kg-mineco-head,Daniyar Amanaliev,Minister of Economy and Commerce of the Kyrgyz Republic,,2,kg-udp-digital-head,Adilbek Asanbekov,KG-MINENERGY,Ministry of Energy of the Kyrgyz Republic,KG-UP-2024-090-CONCEPT,90,On Approval of the Digital Transformation Concept of the Kyrgyz Republic for 2024-2028,EU-KG-TEAM-EUROPE-DIGITAL,EU,Team Europe Initiative on Digital Connectivity for Kyrgyzstan,[TTL_NOT_FOUND] EU Delegation Bishkek leads. Search path: eeas.europa.eu/delegations/kyrgyz-republic/global-gateway.,case-nl-deltares-flood-ai,Deltares / Netherlands Flood Early Warning AI,Netherlands,donor_program,2800000,14000000,"Kyrgyzstan has 2,000+ glacial lakes and a 90%+ mountainous geography. KG-TF-2026-008 ($2.8M) procures the early-warning system. Deltares Flood AI proves physics-informed ML works at scale. We bring Russian-Kyrgyz bilingual sntz.ai stack and ICWC-aware regional sharing — KG glacier monitoring as climate-security asset for the entire Aral basin.",LinkedIn message to kg-udp-digital-head (Adilbek Asanbekov) on climate-security framing of glacier AI. | Schedule meeting with EU-BOTH-C4CA PIU for regional integration endorsement letter. | Reach out to CAIAG (Central Asian Institute for Applied Geosciences) for glaciology partnership. | Brief Toktogul / Naryn hydropower operators on early-warning integration. | Track KG-TF-2026-008 publication.,VERIFIED
