id,short_name,country,sector,confidence_tier,weighted_total,speed_to_contract,strategic_moat,defensibility,capital_access,russian_cis_fit,target_person_id,target_person_name,target_person_role,target_person_linkedin,target_person_priority_tier,operational_counterpart_id,operational_counterpart_name,lead_institution_id,lead_institution,decree_id,decree_number,decree_title_en,donor_program_id,donor,donor_program_name,ttl_pm_name,precedent_case_id,precedent_case,precedent_country,procurement_pathway,estimated_initial_contract_usd,estimated_3yr_revenue_usd,pitch_hook,next_30_day_actions,verification
INI-001,AI Fund Criteria Co-Design (PP-320),UZ,AI Infrastructure (Enabling Layer),A,9.55,9,10,9,10,10,uz-uzdigital-ai-center-head,Dostonbek Toshmatov,"Director, National AI Center of Uzbekistan (under MoDT)",https://www.linkedin.com/in/dostonbek-toshmatov,2,uz-mintsifry-dep3,Komiljon Turdiyev,UZ-AI-CENTER,Center for the Development of Artificial Intelligence and Digital Economy (under Ministry of Digital Technologies),UZ-PP-2025-320,ПП-320,On Additional Measures to Support Projects Based on Artificial Intelligence Technologies,EBRD-UZ-DIGITAL-STRATEGY,EBRD,EBRD Uzbekistan Country Strategy 2024-2028 — Digital Economy and SME Digitalization Component,[TTL_NOT_FOUND] EBRD Uzbekistan Principal Banker (head of resident mission). Search path: ebrd.com/where-we-are/uzbekistan.,case-ae-falcon-llm,UAE Falcon LLM — Arabic Sovereign Foundation Model,UAE,direct,5000000,25000000,PP-320 commits $100M of state capital to back 50 AI projects through 2028. The Fund's criteria are being drafted now — and the evaluators have not yet seen a Russian-Uzbek bilingual sovereign LLM stack benchmarked at production parity. We can deliver the first flagship the President can name in his 2026 address.,"LinkedIn message to uz-mintsifry-dep3 (Deputy Minister AI & Innovation) referencing PP-320 criteria-drafting process and offering written brief on selection axes. | Warm-intro request through diaspora-uz-abror-tursunov-google to uz-uzdigital-ai-center-head citing Stanford HAI dialogue on sovereign LLM evaluation rubrics. | Submit pre-qualification expression of interest for tender UZ-TF-2026-002 (Sovereign Uzbek-Russian LLM, $20M) and UZ-TF-2026-001 (AI Cluster at NUU, $15M). | Attend Digital Bridge Tashkent 2026 (Sept 2026) where uz-mintsifry-minister and Saida Mirziyoyeva are confirmed speakers; book paid sponsor slot to gain on-stage adjacency.",VERIFIED
KG-INI-009,Sovereign Kyrgyz-Russian LLM Foundation Model,KG,AI Infrastructure (Enabling Layer),A,9.55,9,10,10,9,10,kg-national-ai-council-chair,Azamat Sydykov,"Chair, National AI Council (Национальный совет по ИИ), Kyrgyz Republic (function absorbed into UДП, April 2026)",,2,kg-udp-digital-head,Adilbek Asanbekov,KG-NATIONAL-AI-COUNCIL,National Council on Artificial Intelligence of the Kyrgyz Republic,KG-UP-2025-091,91,On Measures to Create the National Council on Artificial Intelligence (probable subject),WB-KG-P160230,WorldBank,Digital CASA — Kyrgyz Republic (incl. Additional Financing),Sandra Sargent (World Bank Senior Digital Development Specialist and Project TTL),case-ae-falcon-llm,UAE Falcon LLM — Arabic Sovereign Foundation Model,UAE,pilot_then_scale,2500000,22000000,Kyrgyzstan has no sovereign LLM and Kyrgyz language is severely under-resourced in every major foundation model. KG-NATIONAL-AI-STRATEGY-PENDING and KG-T-2026-003 ($2.5M GPU cluster) procure the foundation now. UAE Falcon proves the architecture; France Albert proves the deployment pattern. We deliver a Kyrgyz-Russian bilingual sovereign LLM running on UDP-supervised compute — the only stack that satisfies Digital Code auditability and ships in 14 months.,Submit pre-qualification documentation for KG-T-2026-003 ($2.5M GPU cluster) before submission deadline. | LinkedIn message to kg-national-ai-council-chair (Azamat Sydykov) on Kyrgyz-Russian sovereign LLM architecture. | Schedule meeting with AUCA rector (kg-auca-rector) on computer science partnership. | Brief WB Digital CASA TTL (kg-sandra-sargent) on sovereign LLM as Digital CASA deliverable. | Build Russian-Kyrgyz bilingual benchmark v1 with AUCA / HTP linguistic input.,VERIFIED
INI-006,Sovereign Uzbek-Russian LLM (Foundation Model),UZ,AI Infrastructure (Enabling Layer),A,9.5,8,10,10,10,10,uz-uzdigital-ai-center-head,Dostonbek Toshmatov,"Director, National AI Center of Uzbekistan (under MoDT)",https://www.linkedin.com/in/dostonbek-toshmatov,2,uz-nuu-rector,Inom Majidov,UZ-AI-CENTER,Center for the Development of Artificial Intelligence and Digital Economy (under Ministry of Digital Technologies),UZ-UP-2025-189,УП-189,On Additional Measures for Further Development of Artificial Intelligence Technologies,EBRD-UZ-DIGITAL-STRATEGY,EBRD,EBRD Uzbekistan Country Strategy 2024-2028 — Digital Economy and SME Digitalization Component,[TTL_NOT_FOUND] EBRD Uzbekistan Principal Banker (head of resident mission). Search path: ebrd.com/where-we-are/uzbekistan.,case-ae-falcon-llm,UAE Falcon LLM — Arabic Sovereign Foundation Model,UAE,tender,12000000,35000000,UAE Falcon LLM made the UAE a sovereign-AI exporter. UP-189 and the $100M AI Fund (PP-320) commit Uzbekistan to its own. Tender UZ-TF-2026-011 ($12M) is in pipeline — we deliver the only production-ready Russian-Uzbek bilingual stack with NUU AI Cluster co-publication.,"LinkedIn message to uz-uzdigital-ai-center-head referencing UP-189 and offering technical brief on bilingual sovereign LLM training methodology. | Schedule meeting with uz-nuu-rector through diaspora-uz-akbar-toshmatov-stanford (Stanford HAI) for NUU AI Cluster partnership. | Reach out to EBRD-UZ-DIGITAL-STRATEGY country team for digital-economy strategy alignment dialogue. | Track UZ-TF-2026-011 publication and pre-position via UZ-TF-2026-008 ($3M, AI Center of Excellence) bid as warm-up.",VERIFIED
INI-002,AI in Courts Phase 1 (UP-140),UZ,Justice & Rule of Law,A,9.4,10,9,9,9,10,uz-bahrom-ismoilov,Bahrom Ismoilov,Chairman of the Supreme Court of the Republic of Uzbekistan,,1,uz-digitalcourt-proj-head,Nodirbek Hamidov,UZ-SUPREME-COURT,Supreme Court of the Republic of Uzbekistan,UZ-UP-2025-140,УП-140,On Additional Measures to Enhance Access to Justice Through Implementing AI Technologies in Court Operations and Improving Material-Technical Support of the Judicial System,UNDP-UZ-AI-COURTS,UNDP,ICT Implementation in Civil Courts of Uzbekistan,[TTL_NOT_FOUND] UNDP Uzbekistan Rule of Law / Justice cluster. Search path: undp.org/uzbekistan/publications/analytical-note-ict-implementation-civil-courts-uzbekistan.,case-est-salme,SALME AI-Assisted Court Document Analysis (Estonia),Estonia,donor_program,8000000,22000000,UP-140 commits the Supreme Court to deploy AI by Q4 2027 with $15M state budget. Estonia's SALME proves the architecture works in continental civil law. We bring the only production-ready Russian-Uzbek dual-script legal NLP stack — Phase 1 RFP UZ-T-2026-002 closes Q3 2026.,"Submit pre-qualification documentation for UZ-T-2026-002 by Q2 2026 deadline. | LinkedIn message to uz-digitalcourt-proj-head referencing UP-140 Phase 1 architecture and offering Estonia SALME comparison brief. | Schedule warm intro through kg-tonis-mae (eGA Estonia, KG context but Estonia connection) to e-Governance Academy Estonia for SALME endorsement letter. | Reach out to UNDP-UZ-AI-COURTS donor TTL via UNDP Tashkent office citing UNDP donor co-financing pathway.",VERIFIED
KG-INI-002,Digital Som CBDC Wallet & AML/KYC Stack,KG,Finance & Fiscal,A,9.35,10,9,9,9,10,kg-nbkr-head,Melis Turganbekov,"Chairman, National Bank of the Kyrgyz Republic (NBKR)",,1,kg-tunduk-tech-lead,Mirlan Asanbekov,KG-NBKR,National Bank of the Kyrgyz Republic (NBKR),KG-LAW-2025-074-NBKR-CBDC,74,On Amendments to the Constitutional Law of the Kyrgyz Republic 'On the National Bank of the Kyrgyz Republic' (Introduction of Digital Som),EFSD-KG-STABILIZATION,EFSD,Eurasian Fund for Stabilization and Development — Kyrgyzstan Digital Infrastructure Component,[TTL_NOT_FOUND] EFSD Director General. Russian-led governance means low public transparency. Search path: efsd.info for KG country programs.,case-kg-cbdc-digital-som,Kyrgyzstan Digital Som CBDC (In Progress — Law Enacted 2025),Kyrgyzstan,tender,3500000,24000000,"Constitutional Law 74 of 16.04.2025 mandates digital som go-live on 1 January 2027 — a hard legal deadline NBKR cannot miss without amending the constitution. KG-T-2026-004 ($3.5M wallet) is live now and KG-TF-2026-002 ($4.5M Phase 2 AML) follows. Brazil Pix proves the architecture, Singapore Ubin the wholesale-retail bridge. We deliver the only Russian-Kyrgyz bilingual sntz.ai-grade AML/KYC stack that is sanctions-clean and disbursable on NBKR's deadline.","Submit pre-qualification documentation for KG-T-2026-004 ($3.5M digital som software) before submission deadline. | Request NBKR pilot observer status via formal letter to NBKR Chairman Melis Turganbekov (kg-nbkr-head). | Secure WB/IFC TA alignment letter through Sandra Sargent (kg-sandra-sargent, WB Digital CASA TTL). | Build Russian-Kyrgyz bilingual wallet demo against NBKR's published technical specification, deliver as 4-week MVR. | LinkedIn message to kg-tunduk-tech-lead (Mirlan Asanbekov) on AML integration architecture for Tunduk identity fetch.",VERIFIED
KG-INI-001,UDP TOR Drafting Co-Author (Mintsifry Successor),KG,Public Administration & e-Government,A,9.3,10,10,8,9,10,kg-udp-digital-head,Adilbek Asanbekov,"Head of Digital Transformation Department, Administration of Presidential Affairs (UДП) — successor to Mintsifry functions",,1,kg-presidential-digital-dept-dep,Timur Koichubaev,KG-UDP,Administration of Presidential Affairs of the Kyrgyz Republic — Digital Development Department (successor to Ministry of Digital Development),KG-UP-2026-MINCIFRY-ABOLITION,УП-??,"On Urgent Measures for Effective Implementation of Digital Transformation (Liquidation of Ministry of Digital Development, Transfer of Functions to Presidential Administration)",EGA-KG-TWINNING,EU,e-Governance Academy (EGA) Twinning — Support to Digitalisation Agenda in Kyrgyzstan,"Tõnis Mäe (e-Governance Academy, Project Manager — completed project; EGA active in C4CA follow-on)",case-kg-tunduk-modernisation,Kyrgyzstan Tunduk Interoperability Platform Modernisation (EU-Funded),Kyrgyzstan,direct,700000,18000000,On 30.04.2026 Минцифры was liquidated and UDP must publish post-Минцифры TORs by 31.07.2026 — but UDP has zero in-house technical drafting capacity and 20+ programs to re-procure. Estonia eGA has the twinning frame. We have the Russian-Kyrgyz bilingual sntz.ai stack and a Bishkek-dispatchable team. Sixty days of pro-bono TOR drafting equals 24 months of priority vendor positioning across every Mintsifry-successor procurement.,"LinkedIn message to kg-talant-sultanov-former requesting warm intro to Adilbek Asanbekov, framing pro-bono TOR drafting as continuation of Sultanov's CMU-style governance modernization agenda. | Submit Technical Assistance Provider registration to WB Digital CASA Kyrgyz PIU citing Sandra Sargent (kg-sandra-sargent) as TTL contact, attach team CV bundle and prior X-Road / e-government TOR drafting references. | Submit parallel TA Provider registration to ADB Project 55109 e-Procurement PIU citing Aibek Abdybakirov (kg-aibek-abdybakirov) as project officer. | Schedule 60-day Bishkek field visit for senior advisor; request co-location desk at HTP or AUCA innovation hub; brief AUCA rector on Russian-Kyrgyz NLP benchmark co-publication. | Brief Estonia eGA's KG advisor (kg-tonis-mae) on intent to complement (not compete with) the EGA twinning program; explore subcontract pathway if eGA cannot field LLM/AI capability inside its TOR drafting scope.",VERIFIED
KG-INI-003,Tunduk 2.0 API Gateway & Data Modernization,KG,Public Administration & e-Government,A,9.2,10,9,9,9,9,kg-tunduk-gp-head,Marat Isakov,"Director, State Enterprise Tunduk (National e-Government Data Exchange Platform)",https://www.linkedin.com/in/marat-isakov-tunduk,1,kg-tunduk-tech-lead,Mirlan Asanbekov,KG-GP-TUNDUK,State Institution 'Tunduk' — Inter-Agency Electronic Interaction System (under UDP after April 2026),KG-UP-2018-200-TUNDUK,200,On Approval of Requirements for Information System Interaction in the 'Tunduk' Inter-Agency Electronic Interaction System,KOICA-KG-TUNDUK,KOICA,Modernization and Capacity Development of TUNDUK Administrative Information Sharing and Interoperability System,[TTL_NOT_FOUND] KOICA Kyrgyzstan Office (Bishkek) — Country Director. Search path: donors.kg/en/agencies/2905-koica.,case-est-xroad,X-Road / X-Tee Inter-Agency Data Exchange,Estonia,tender,1800000,12000000,KG-LAW-2025-178 mandates an AI registry on Tunduk and KG-T-2026-005 ($1.8M) is open now to modernize the platform. Estonia X-Road proves the architecture; Kazakhstan and Azerbaijan have copied it. We bring the only Russian-Kyrgyz bilingual API-gateway + AI inference fabric stack that satisfies Digital Code auditability on day one — Cybernetica's classic X-Road build does not.,"Submit pre-qualification documentation for KG-T-2026-005 ($1.8M Tunduk modernization) before submission deadline. | LinkedIn message to kg-tunduk-gp-head (Marat Isakov, Tunduk SE Director) referencing case-est-xroad maturity model and offering Russian-Kyrgyz bilingual operator demo. | Reach out to KOICA-KG-TUNDUK TTL via KOICA Bishkek office citing the active KOICA-KG-TUNDUK $5M co-financing pipeline. | Brief Estonia eGA's KG advisor (kg-tonis-mae) on partnership rather than competitive positioning vs. Cybernetica. | Reach out to EU C4CA PIU (kg-eu-piu-c4ca) for technical assistance alignment letter.",VERIFIED
KG-INI-008,Digital Code Secondary Regulations & AI Registry,KG,AI Infrastructure (Enabling Layer),A,9.2,10,10,9,8,9,kg-national-ai-council-chair,Azamat Sydykov,"Chair, National AI Council (Национальный совет по ИИ), Kyrgyz Republic (function absorbed into UДП, April 2026)",,2,kg-digital-code-legal-adviser,Aigul Bakytbekova,KG-AI-SECONDARY-REG-WORKING-GROUP,Digital Code Secondary Regulations Working Group (AI Auditability and Model Registry),KG-LAW-2025-178-DIGITAL-CODE,178,Digital Code of the Kyrgyz Republic,EGA-KG-TWINNING,EU,e-Governance Academy (EGA) Twinning — Support to Digitalisation Agenda in Kyrgyzstan,"Tõnis Mäe (e-Governance Academy, Project Manager — completed project; EGA active in C4CA follow-on)",case-sg-pair-govt-llm,Singapore PAIR Government LLM Platform,Singapore,donor_program,650000,6000000,KG Digital Code is in force but its AI auditability provisions have only 7 months to be detailed. KG-T-2026-008 ($650K) procures the drafting now and KG-TF-2026-004 ($850K) procures the registry platform. Singapore PAIR proves the architecture; Estonia eGA proves the procedural framework. We bring Russian-Kyrgyz bilingual sntz.ai stack and operational delivery on Tunduk inference fabric — the only vendor that drafts the rule and runs the platform on the same week.,"Submit pre-qualification documentation for KG-T-2026-008 ($650K Digital Code TA) before submission deadline. | LinkedIn message to kg-national-ai-council-chair (Azamat Sydykov) on Russian-Kyrgyz bilingual AI registry architecture. | Reach out to kg-digital-code-legal-adviser (Aigul Bakytbekova) for Working Group inclusion. | Schedule meeting with AUCA rector (kg-auca-rector, Andrew Wachtel) on academic legal co-author partnership. | Secure Singapore IMDA / EU AI Office reference letter via diaspora intro.",VERIFIED
INI-004,Tax Risk-Scoring AI for STC (UZ),UZ,Finance & Fiscal,A,9.05,10,9,8,9,9,uz-gnk-head,Sherzod Kudbiyev,"Chairman, State Tax Committee of the Republic of Uzbekistan (GNK)",,2,uz-minfinance-digi-dept,Otabek Komilov,UZ-GNK,State Tax Committee of the Republic of Uzbekistan,UZ-LAW-2022-792,ЗРУ-792,On Electronic Commerce,WB-UZ-FINREFORM-P176353,WorldBank,Accelerating Uzbekistan's Transition Development Policy Operation,[TTL_NOT_FOUND] DPO managed by Macroeconomics practice. Country Director/Manager: Marco Mantovanelli. Search path: projects.worldbank.org P176353.,case-kz-smartbridge-tax,Kazakhstan Smart Bridge & Tax System Integration,Kazakhstan,tender,3200000,24000000,Kazakhstan Smart Bridge returned $400M in Year 1 on $28M investment — verified case-kz-smartbridge-tax. Uzbekistan's tax gap is $2B+ and rising. RFP UZ-T-2026-010 closes Q3 2026 — we deliver the only Russian-Uzbek bilingual stack with the Smart Bridge architectural recipe.,Submit pre-qualification for UZ-T-2026-010 ($3.2M) by Q3 2026. | Schedule briefing with uz-gnk-head via Tashkent business chamber referencing Kazakhstan Smart Bridge ROI. | Reach out to WB-UZ-FINREFORM-P176353 TTL through WB Tashkent office citing fiscal-reform DPF lever. | Warm-intro through diaspora-uz-laziz-umarov-bcg (BCG Tech Advantage) to MoEF Digital Finance Department citing comparative tax-AI ROI.,VERIFIED
INI-007,Sovereign AI Compute Cluster (NUU + UzCloud),UZ,AI Infrastructure (Enabling Layer),A,9.0,9,9,9,9,9,uz-uzdigital-ai-center-head,Dostonbek Toshmatov,"Director, National AI Center of Uzbekistan (under MoDT)",https://www.linkedin.com/in/dostonbek-toshmatov,2,uz-egov-uzcloud-head,Bobur Iskandarov,UZ-AI-CENTER,Center for the Development of Artificial Intelligence and Digital Economy (under Ministry of Digital Technologies),UZ-UP-2025-189,УП-189,On Additional Measures for Further Development of Artificial Intelligence Technologies,AIIB-UZ-TELECOM-P000758,AIIB,Uzbekistan Telecom Digital Connectivity Project,[TTL_NOT_FOUND] AIIB Investment Operations (Central Asia). Search path: aiib.org/en/projects/details/2025/approved/uzbekistan-telecom.html.,case-sg-pair-govt-llm,Singapore PAIR Government LLM Platform,Singapore,tender,50000000,80000000,"Singapore PAIR proves a sovereign AI compute cluster catalyzes a national AI economy. UP-189 and the $100M AI Fund commit UZ to follow. RFP UZ-T-2026-001 ($50M) is live. We design the hybrid NVIDIA-Huawei resilience cluster co-hosted with NUU AI Cluster — sanctions-resilient, sovereign, ready.",Submit pre-qualification for UZ-T-2026-001 ($50M). | Schedule meeting with uz-egov-uzcloud-head referencing AI compute integration with UzCloud. | Reach out to AIIB-UZ-TELECOM-P000758 country team for digital infrastructure co-financing dialogue. | Engage diaspora-uz-farida-rakhimova-amazon (AWS) for compute supply-chain advisory and diaspora-uz-sarvar-sadikov-meta (Meta AI Infra) for orchestration architecture review.,VERIFIED
