id,short_name,country,sector,confidence_tier,weighted_total,speed_to_contract,strategic_moat,defensibility,capital_access,russian_cis_fit,target_person_id,target_person_name,target_person_role,target_person_linkedin,target_person_priority_tier,operational_counterpart_id,operational_counterpart_name,lead_institution_id,lead_institution,decree_id,decree_number,decree_title_en,donor_program_id,donor,donor_program_name,ttl_pm_name,precedent_case_id,precedent_case,precedent_country,procurement_pathway,estimated_initial_contract_usd,estimated_3yr_revenue_usd,pitch_hook,next_30_day_actions,verification
INI-001,AI Fund Criteria Co-Design (PP-320),UZ,AI Infrastructure (Enabling Layer),A,9.55,9,10,9,10,10,uz-uzdigital-ai-center-head,Dostonbek Toshmatov,"Director, National AI Center of Uzbekistan (under MoDT)",https://www.linkedin.com/in/dostonbek-toshmatov,2,uz-mintsifry-dep3,Komiljon Turdiyev,UZ-AI-CENTER,Center for the Development of Artificial Intelligence and Digital Economy (under Ministry of Digital Technologies),UZ-PP-2025-320,ПП-320,On Additional Measures to Support Projects Based on Artificial Intelligence Technologies,EBRD-UZ-DIGITAL-STRATEGY,EBRD,EBRD Uzbekistan Country Strategy 2024-2028 — Digital Economy and SME Digitalization Component,[TTL_NOT_FOUND] EBRD Uzbekistan Principal Banker (head of resident mission). Search path: ebrd.com/where-we-are/uzbekistan.,case-ae-falcon-llm,UAE Falcon LLM — Arabic Sovereign Foundation Model,UAE,direct,5000000,25000000,PP-320 commits $100M of state capital to back 50 AI projects through 2028. The Fund's criteria are being drafted now — and the evaluators have not yet seen a Russian-Uzbek bilingual sovereign LLM stack benchmarked at production parity. We can deliver the first flagship the President can name in his 2026 address.,"LinkedIn message to uz-mintsifry-dep3 (Deputy Minister AI & Innovation) referencing PP-320 criteria-drafting process and offering written brief on selection axes. | Warm-intro request through diaspora-uz-abror-tursunov-google to uz-uzdigital-ai-center-head citing Stanford HAI dialogue on sovereign LLM evaluation rubrics. | Submit pre-qualification expression of interest for tender UZ-TF-2026-002 (Sovereign Uzbek-Russian LLM, $20M) and UZ-TF-2026-001 (AI Cluster at NUU, $15M). | Attend Digital Bridge Tashkent 2026 (Sept 2026) where uz-mintsifry-minister and Saida Mirziyoyeva are confirmed speakers; book paid sponsor slot to gain on-stage adjacency.",VERIFIED
INI-006,Sovereign Uzbek-Russian LLM (Foundation Model),UZ,AI Infrastructure (Enabling Layer),A,9.5,8,10,10,10,10,uz-uzdigital-ai-center-head,Dostonbek Toshmatov,"Director, National AI Center of Uzbekistan (under MoDT)",https://www.linkedin.com/in/dostonbek-toshmatov,2,uz-nuu-rector,Inom Majidov,UZ-AI-CENTER,Center for the Development of Artificial Intelligence and Digital Economy (under Ministry of Digital Technologies),UZ-UP-2025-189,УП-189,On Additional Measures for Further Development of Artificial Intelligence Technologies,EBRD-UZ-DIGITAL-STRATEGY,EBRD,EBRD Uzbekistan Country Strategy 2024-2028 — Digital Economy and SME Digitalization Component,[TTL_NOT_FOUND] EBRD Uzbekistan Principal Banker (head of resident mission). Search path: ebrd.com/where-we-are/uzbekistan.,case-ae-falcon-llm,UAE Falcon LLM — Arabic Sovereign Foundation Model,UAE,tender,12000000,35000000,UAE Falcon LLM made the UAE a sovereign-AI exporter. UP-189 and the $100M AI Fund (PP-320) commit Uzbekistan to its own. Tender UZ-TF-2026-011 ($12M) is in pipeline — we deliver the only production-ready Russian-Uzbek bilingual stack with NUU AI Cluster co-publication.,"LinkedIn message to uz-uzdigital-ai-center-head referencing UP-189 and offering technical brief on bilingual sovereign LLM training methodology. | Schedule meeting with uz-nuu-rector through diaspora-uz-akbar-toshmatov-stanford (Stanford HAI) for NUU AI Cluster partnership. | Reach out to EBRD-UZ-DIGITAL-STRATEGY country team for digital-economy strategy alignment dialogue. | Track UZ-TF-2026-011 publication and pre-position via UZ-TF-2026-008 ($3M, AI Center of Excellence) bid as warm-up.",VERIFIED
INI-002,AI in Courts Phase 1 (UP-140),UZ,Justice & Rule of Law,A,9.4,10,9,9,9,10,uz-bahrom-ismoilov,Bahrom Ismoilov,Chairman of the Supreme Court of the Republic of Uzbekistan,,1,uz-digitalcourt-proj-head,Nodirbek Hamidov,UZ-SUPREME-COURT,Supreme Court of the Republic of Uzbekistan,UZ-UP-2025-140,УП-140,On Additional Measures to Enhance Access to Justice Through Implementing AI Technologies in Court Operations and Improving Material-Technical Support of the Judicial System,UNDP-UZ-AI-COURTS,UNDP,ICT Implementation in Civil Courts of Uzbekistan,[TTL_NOT_FOUND] UNDP Uzbekistan Rule of Law / Justice cluster. Search path: undp.org/uzbekistan/publications/analytical-note-ict-implementation-civil-courts-uzbekistan.,case-est-salme,SALME AI-Assisted Court Document Analysis (Estonia),Estonia,donor_program,8000000,22000000,UP-140 commits the Supreme Court to deploy AI by Q4 2027 with $15M state budget. Estonia's SALME proves the architecture works in continental civil law. We bring the only production-ready Russian-Uzbek dual-script legal NLP stack — Phase 1 RFP UZ-T-2026-002 closes Q3 2026.,"Submit pre-qualification documentation for UZ-T-2026-002 by Q2 2026 deadline. | LinkedIn message to uz-digitalcourt-proj-head referencing UP-140 Phase 1 architecture and offering Estonia SALME comparison brief. | Schedule warm intro through kg-tonis-mae (eGA Estonia, KG context but Estonia connection) to e-Governance Academy Estonia for SALME endorsement letter. | Reach out to UNDP-UZ-AI-COURTS donor TTL via UNDP Tashkent office citing UNDP donor co-financing pathway.",VERIFIED
INI-004,Tax Risk-Scoring AI for STC (UZ),UZ,Finance & Fiscal,A,9.05,10,9,8,9,9,uz-gnk-head,Sherzod Kudbiyev,"Chairman, State Tax Committee of the Republic of Uzbekistan (GNK)",,2,uz-minfinance-digi-dept,Otabek Komilov,UZ-GNK,State Tax Committee of the Republic of Uzbekistan,UZ-LAW-2022-792,ЗРУ-792,On Electronic Commerce,WB-UZ-FINREFORM-P176353,WorldBank,Accelerating Uzbekistan's Transition Development Policy Operation,[TTL_NOT_FOUND] DPO managed by Macroeconomics practice. Country Director/Manager: Marco Mantovanelli. Search path: projects.worldbank.org P176353.,case-kz-smartbridge-tax,Kazakhstan Smart Bridge & Tax System Integration,Kazakhstan,tender,3200000,24000000,Kazakhstan Smart Bridge returned $400M in Year 1 on $28M investment — verified case-kz-smartbridge-tax. Uzbekistan's tax gap is $2B+ and rising. RFP UZ-T-2026-010 closes Q3 2026 — we deliver the only Russian-Uzbek bilingual stack with the Smart Bridge architectural recipe.,Submit pre-qualification for UZ-T-2026-010 ($3.2M) by Q3 2026. | Schedule briefing with uz-gnk-head via Tashkent business chamber referencing Kazakhstan Smart Bridge ROI. | Reach out to WB-UZ-FINREFORM-P176353 TTL through WB Tashkent office citing fiscal-reform DPF lever. | Warm-intro through diaspora-uz-laziz-umarov-bcg (BCG Tech Advantage) to MoEF Digital Finance Department citing comparative tax-AI ROI.,VERIFIED
INI-007,Sovereign AI Compute Cluster (NUU + UzCloud),UZ,AI Infrastructure (Enabling Layer),A,9.0,9,9,9,9,9,uz-uzdigital-ai-center-head,Dostonbek Toshmatov,"Director, National AI Center of Uzbekistan (under MoDT)",https://www.linkedin.com/in/dostonbek-toshmatov,2,uz-egov-uzcloud-head,Bobur Iskandarov,UZ-AI-CENTER,Center for the Development of Artificial Intelligence and Digital Economy (under Ministry of Digital Technologies),UZ-UP-2025-189,УП-189,On Additional Measures for Further Development of Artificial Intelligence Technologies,AIIB-UZ-TELECOM-P000758,AIIB,Uzbekistan Telecom Digital Connectivity Project,[TTL_NOT_FOUND] AIIB Investment Operations (Central Asia). Search path: aiib.org/en/projects/details/2025/approved/uzbekistan-telecom.html.,case-sg-pair-govt-llm,Singapore PAIR Government LLM Platform,Singapore,tender,50000000,80000000,"Singapore PAIR proves a sovereign AI compute cluster catalyzes a national AI economy. UP-189 and the $100M AI Fund commit UZ to follow. RFP UZ-T-2026-001 ($50M) is live. We design the hybrid NVIDIA-Huawei resilience cluster co-hosted with NUU AI Cluster — sanctions-resilient, sovereign, ready.",Submit pre-qualification for UZ-T-2026-001 ($50M). | Schedule meeting with uz-egov-uzcloud-head referencing AI compute integration with UzCloud. | Reach out to AIIB-UZ-TELECOM-P000758 country team for digital infrastructure co-financing dialogue. | Engage diaspora-uz-farida-rakhimova-amazon (AWS) for compute supply-chain advisory and diaspora-uz-sarvar-sadikov-meta (Meta AI Infra) for orchestration architecture review.,VERIFIED
INI-008,Healthcare AI Diagnostic Platform (UZ),UZ,Health,A,8.95,9,8,9,10,9,uz-amrillo-inoyatov,Amrillo Inoyatov,Minister of Health of the Republic of Uzbekistan,,1,uz-ehealth-center-head,Jahongir Yusupov,UZ-MINZDRAV,Ministry of Health of the Republic of Uzbekistan,UZ-PP-2024-038,ПП-38,On Additional Measures to Deepen Healthcare Reforms,WB-UZ-HEALTH-P178562,WorldBank,Uzbekistan Health System Modernization Project,[TTL_NOT_FOUND] P178562 PAD document located at documents1.worldbank.org. Implementing via Ministry of Health PIU. Search path: documents.worldbank.org P178562 project appraisal document title page.,case-kz-damumed,Kazakhstan Damumed AI Diagnostic Platform,Kazakhstan,donor_program,6500000,28000000,"Kazakhstan Damumed proved AI clinical decision support reduces oblast-hospital diagnostic error by 25%+. UZ has 12,000 primary-care clinicians and a $200M WB modernization envelope. RFP UZ-T-2026-003 ($6.5M) closes Q3 2026 — we deliver Russian-Uzbek bilingual Damumed-class stack on UzCloud.",Submit pre-qualification for UZ-T-2026-003 ($6.5M) by Q3 2026. | Schedule briefing with uz-ehealth-center-head referencing Damumed precedent and Russian-Uzbek bilingual differentiation. | Reach out to WB-UZ-HEALTH-P178562 TTL via WB Tashkent office for donor-program TTL endorsement letter. | Engage diaspora-uz-dilnoza-askarova-hsbc bridge to UZ MoH digital health partners and clinical advisors.,VERIFIED
INI-016,MyID Mobile-ID National Rollout (UZ),UZ,Public Administration & e-Government,A,8.95,10,8,10,8,9,uz-myid-head,Ulugbek Sobirov,"Director, MyID National Digital Identity Platform (under MoDT)",https://www.linkedin.com/in/ulugbek-sobirov-myid,2,uz-mintsifry-dep1,Sarvar Komilov,UZ-MYID-OPERATOR,MyID Digital Identity System (operated by Uzinfocom/MoDT),UZ-UP-2020-6065,УП-6065,On Measures to Implement Identification ID-Cards in the Republic of Uzbekistan,WB-UZ-P179108,WorldBank,Uzbekistan Digital Inclusion Project,[TTL_NOT_FOUND] Press release names Mirzo Ibragimov (Tashkent contact) and Sona Panajyan (Washington DC contact) as Bank contacts; dedicated TTL not publicly identified in available documents. Search path: documents.worldbank.org P179108 ISR sequence reports.,case-pl-mobywatel-digital-id,Poland mObywatel App (Soviet-Bloc Evolution Reference),Poland,tender,4500000,18000000,Estonia Mobile-ID powers 99% of e-government use; Poland mObywatel reached 9M+ users in 4 years. UP-2020-6065 mandates UZ to follow. Live RFP UZ-T-2026-012 ($4.5M) closes Q2 2026 — we deliver Russian-Uzbek bilingual Mobile-ID with eGA Estonia partnership and UZ-LAW-2022-793 compliance.,Submit pre-qualification for UZ-T-2026-012 ($4.5M). | Schedule meeting with uz-myid-head referencing UP-2020-6065 implementation and Mobile-ID architecture. | Reach out to eGA Estonia (kg-tonis-mae as bridge) for PKI architecture partnership. | Engage WB-UZ-P179108 TTL for digital inclusion endorsement.,VERIFIED
INI-009,Geospatial NSDI AI Imagery (UZ),UZ,Agriculture & Water,A,8.85,10,7,9,10,8,uz-cadastre-director,Ulugbek Ismoilov,"Director, State Committee for Cadastre, Republic of Uzbekistan",,2,uz-uzgps-piu-director,Alisher Yunusov,UZ-CADASTRE,State Committee for Cadastre (under Ministry of Economy and Finance),UZ-UP-2024-155,УП-155,On Measures to Introduce Aerospace Technologies in Economic Sectors in 2024-2026,WB-UZ-P506803,WorldBank,Geospatial Infrastructure for Sustainable Territorial Development,"[TTL_NOT_FOUND] Project approved Feb 2025; Practice Area: Urban, Resilience and Land. Implementing agencies: MoEF and Cadastre Agency. Specific TTL not identified in available press releases or PAD summary. Search path: documents.worldbank.org P506803 project appraisal document.",case-sg-virtual-singapore-cadastre,Singapore Virtual Singapore / National Spatial Data Platform,Singapore,donor_program,4200000,18000000,WB P506803 commits $40.7M to UZ Geospatial NSDI through 2027. Live tender UZ-T-2026-004 ($4.2M) is open. Singapore Virtual Singapore proves the architecture; India Bhuvan ISRO proves the imagery pipeline. We deliver Russian-Uzbek bilingual NSDI-AI stack on UzCloud.,Submit pre-qualification for UZ-T-2026-004 ($4.2M). | Schedule briefing with uz-uzgps-piu-director referencing WB P506803 component sequencing and Russian-Uzbek bilingual differentiation. | Reach out to WB-UZ-P506803 TTL through WB Tashkent office for donor-program TTL endorsement. | Engage UZ Space Agency cooperation MoU dialogue ahead of bid submission.,VERIFIED
INI-010,Cybersecurity SOC Modernization (UZ),UZ,Security & Public Order,A,8.85,10,8,9,8,9,uz-unicon-head,Murod Tojimatov,"Director, UNICON.UZ (State Certification Center for Electronic Digital Signature)",,2,uz-president-cyber-advisor,Bobur Ismoilov,UZ-UNICON,UNICON.UZ State Unitary Enterprise (Cybersecurity Center),UZ-UP-2026-038,УП-38,On Determining the Cybersecurity Strategy of the Republic of Uzbekistan and Improving the System for Preventing Cybercrime,EU-BOTH-C4CA,EU,Connectivity for Central Asia (C4CA),[TTL_NOT_FOUND] EU DG INTPA manages overall. Expertise France leads consortium. Contact: expertise-france.gestmax.fr for project vacancies. EU Delegation officers in Tashkent and Bishkek are political counterparts. Search path: Expertise France website C4CA project page.,case-est-cyber-defense,Estonia National Cyber Defence Centre (NCSC & CERT-EE),Estonia,tender,5500000,22000000,Estonia NCSC keeps the Baltic state cyber-resilient with $20M annual budget. UP-2026-038 mandates UZ to do the same. Live tender UZ-T-2026-006 ($5.5M) is open Q3 2026 — we bring the only Russian-Uzbek bilingual SOC stack with UNICON.UZ pre-certification and EU C4CA co-financing pathway.,Submit pre-qualification for UZ-T-2026-006 ($5.5M). | Schedule meeting with uz-unicon-head referencing UP-2026-038 implementation and bilingual SOC differentiation. | Reach out to EU-BOTH-C4CA program lead for cyber-component co-financing dialogue. | Engage e-Governance Academy Estonia for NCSC SOC architecture endorsement letter.,VERIFIED
INI-012,Mahalla Digital Social Registry AI (UZ),UZ,Public Administration & e-Government,A,8.85,8,9,9,9,10,uz-saida-mirziyoyeva,Saida Mirziyoyeva,"Special Representative of the President, Digital Media and Youth Engagement (Presidential daughter — high informal influence)",,3,uz-mintsifry-dep3,Komiljon Turdiyev,UZ-MCHJ-MAHALLA,Mahalla and Social Services Agency (Mahalla Foundation digital arm),UZ-PP-2025-286,ПП-286,"On Measures to Further Accelerate the Implementation of Digital Technologies in the Regions, Sectors and Industries of the Republic",WB-UZ-P179108,WorldBank,Uzbekistan Digital Inclusion Project,[TTL_NOT_FOUND] Press release names Mirzo Ibragimov (Tashkent contact) and Sona Panajyan (Washington DC contact) as Bank contacts; dedicated TTL not publicly identified in available documents. Search path: documents.worldbank.org P179108 ISR sequence reports.,case-kz-smart-social,Kazakhstan Digital Social Protection — e-Otinish Social Registry,Kazakhstan,tender,5800000,22000000,PP-2025-286 commits UZ to digitize 9000+ Mahalla-level social services. India e-Shram and KZ e-Otinish prove the architecture. RFP UZ-TF-2026-012 ($5.8M) is in pipeline and WB P179108 ($50M) provides co-financing rails — we deliver Russian-Uzbek-Mahalla-language stack on UzCloud.,Track UZ-TF-2026-012 publication and pre-qualify. | Warm intro to uz-saida-mirziyoyeva via diaspora-uz-nodira-islamova-mckinsey or Digital Bridge Tashkent 2026. | Reach out to WB-UZ-P179108 TTL via WB Tashkent office citing digital inclusion lever. | Schedule meeting with UZ-MCHJ-MAHALLA leadership via MoDT cooperation channel.,VERIFIED
