id,case_name,country_origin,sector,year_initiated,verification,uz_transferability_score,uz_analogue_institution,kg_transferability_score,kg_analogue_institution,implementation_budget_usd,donor_co_financed
case-in-bhashini,India Bhashini Multilingual AI Platform,India,Education,2021,VERIFIED,9,UZ-MOHESI,9,KG-MOES,25000000,False
case-et-buerokratt,Estonia Bürokratt AI Government Virtual Assistant,Estonia,Cross-cutting,2021,VERIFIED,9,UZ-DXA,9,KG-TUNDUK,4500000,False
case-est-xroad,X-Road / X-Tee Inter-Agency Data Exchange,Estonia,Public Administration & e-Gov,2001,VERIFIED,8,UZ-DXA,9,KG-TUNDUK,15000000,False
case-kz-ecourt,Kazakhstan e-Court System (Torelik),Kazakhstan,Justice & Rule of Law,2013,VERIFIED,9,UZ-MINJUST,8,KG-MINJUST,45000000,False
case-kz-damumed,Kazakhstan Damumed AI Diagnostic Platform,Kazakhstan,Health,2019,L2_VERIFIED,9,UZ-MOH,8,KG-MOH,8000000,False
case-in-esanjeevani,eSanjeevani National Telemedicine Platform (India),India,Health,2019,VERIFIED,8,UZ-MOH,9,KG-MOH,15000000,False
case-in-diksha,DIKSHA National Digital Infrastructure for School Education (India),India,Education,2017,VERIFIED,9,UZ-MOHESI,8,KG-MOES,20000000,False
case-kz-bilimland,Bilim Land EdTech Platform (Kazakhstan),Kazakhstan,Education,2012,VERIFIED,9,UZ-MOHESI,8,KG-MOES,12000000,False
case-kz-smart-agri,Kazakhstan Smart Agriculture System (National Agroinfo),Kazakhstan,Agriculture & Water,2017,VERIFIED,9,UZ-MOAG,8,KG-MOAG,22000000,False
case-kz-water-ai,Kazakhstan Water Canal AI Monitoring (Syr Darya Basin),Kazakhstan,Agriculture & Water,2019,VERIFIED,9,UZ-MOAG,8,KG-MOAG,18000000,False
case-nl-deltares-flood-ai,Deltares / Netherlands Flood Early Warning AI,Netherlands,Agriculture & Water,2015,VERIFIED,8,UZ-MOAG,9,KG-MOAG,35000000,False
case-kz-smart-grid,Kazakhstan KEGOC National Power Grid AI Monitoring,Kazakhstan,Energy,2018,VERIFIED,9,UZ-MINENERGO,8,KG-MINENERGO,45000000,False
case-kg-naryn-hydro-digital,Kyrgyzstan Toktogul Reservoir Digital Management (Pilot),Kyrgyzstan,Energy,2020,VERIFIED,8,UZ-MINENERGO,9,KG-MINENERGO,12000000,True
case-kz-dda-etransport,Kazakhstan Digital Driver's Licence & e-Inspection,Kazakhstan,Transport & Urban,2019,VERIFIED,9,UZ-MINTRANS,8,KG-GRS,18000000,False
